Time,PPG,Acc
4.56,394.48492,0.99422
4.58,410.35235,0.98799
4.6,419.96777,0.99442
4.62,422.27716,0.99928
4.64,418.97583,0.9889
4.66,414.11816,0.98958
4.68,409.93527,0.98399
4.7,405.70611,0.99856
4.72,401.35803,0.98462
4.74,397.23895,0.98399
4.76,393.75039,0.9889
4.78,392.20782,0.99871
4.8,391.75585,0.98799
4.82,389.49774,0.98871
4.84,384.30169,0.99832
4.86,376.36764,0.9889
4.88,367.30279,0.99422
4.9,360.30657,0.98423
4.92,355.99426,0.99398
4.94,352.71447,0.99346
4.96,350.20758,0.99442
4.98,348.11193,0.98506
5,345.81961,0.99971
5.02,344.36968,0.99422
5.04,344.64419,0.99971
5.06,347.23843,0.99856
5.08,353.37927,0.99398
5.1,363.36694,0.98399
5.12,377.45477,0.98443
5.14,395.58993,0.99832
5.16,414.39495,0.99928
5.18,429.39733,0.98443
5.2,437.88769,0.98958
5.22,438.50805,0.98462
5.24,433.17346,0.9836
5.26,426.17431,0.98929
5.28,419.99908,0.98832
5.3,415.72058,0.99422
5.32,413.02221,0.99326
5.34,409.53207,0.9836
5.36,404.48355,1.00389
5.38,399.03762,0.99504
5.4,393.76599,0.98997
5.42,389.54486,0.98924
5.44,386.27807,0.9793
5.46,382.00189,0.99504
5.48,376.34136,0.98326
5.5,370.15972,0.98443
5.52,364.0382,0.99971
5.54,359.73107,0.99971
5.56,357.91876,0.99398
5.58,356.79309,0.98799
5.6,355.13665,0.9889
5.62,352.27697,0.99461
5.64,348.41949,0.99461
5.66,346.94793,0.98399
5.68,351.38143,0.98443
5.7,362.68884,0.9889
5.72,379.7362,0.99398
5.74,397.91513,0.99957
5.76,411.88519,0.99442
5.78,420.19171,0.99442
5.8,423.25433,0.98997
5.82,421.73541,0.9877
5.84,417.14978,0.9836
5.86,410.2492,0.99398
5.88,402.23901,0.9904
5.9,395.89782,0.98326
5.92,392.37213,0.98958
5.94,391.18594,0.98972
5.96,391.43865,1.00422
5.98,390.4635,0.99995
6,386.38647,1.00441
6.02,380.3623,0.99928
6.04,374.15124,0.97872
6.06,369.54559,0.98832
6.08,367.21319,1.00274
6.1,364.86666,0.98857
6.12,361.00048,0.9836
6.14,356.45016,0.98326
6.16,351.70159,0.99577
6.18,347.92218,0.97857
6.2,346.27478,0.99914
6.22,345.42382,0.9936
6.24,344.54425,0.99346
6.26,345.04138,0.99326
6.28,349.25079,0.9836
6.3,360.16772,0.99871
6.32,377.70904,0.99832
6.34,396.84661,0.98443
6.36,412.47619,0.974
6.38,421.48104,0.98535
6.4,422.73822,0.99461
6.42,418.67443,0.98958
6.44,412.32321,0.99856
